transaction_id,client_id,timestamp,montant,devise,type_transaction,pays_dest,ip_source,device_type,heure_jour,jour_semaine,nouveau_beneficiaire,fraude_label
1,CLI000047,2026-03-30 02:25:00,166.43,TND,DEBIT,FR,192.168.121.168,MOBILE_ANDROID,2,0,False,0
2,CLI000100,2026-03-06 01:36:00,257.18,EUR,CREDIT,US,192.168.132.254,DESKTOP_CHROME,1,4,False,0
3,CLI000096,2026-03-02 03:19:00,1582.22,EUR,VIREMENT,TN,192.168.195.244,MOBILE_ANDROID,3,0,False,0
4,CLI000050,2026-03-13 12:24:00,242.58,EUR,CREDIT,FR,192.168.39.222,MOBILE_IOS,12,4,False,0
5,CLI000012,2026-03-12 03:29:00,3771.25,EUR,DEBIT,FR,192.168.102.59,DESKTOP_FIREFOX,3,3,False,0
6,CLI000092,2026-03-11 03:48:00,911.1,EUR,VIREMENT,FR,192.168.59.186,MOBILE_ANDROID,3,2,False,0
7,CLI000052,2026-03-07 08:24:00,1099.61,EUR,DEBIT,FR,192.168.192.54,MOBILE_ANDROID,8,5,False,0
8,CLI000032,2026-03-05 15:57:00,710.49,EUR,DEBIT,DE,192.168.122.60,MOBILE_ANDROID,15,3,False,0
9,CLI000074,2026-03-25 19:41:00,2508.44,EUR,DEBIT,TN,192.168.133.151,DESKTOP_CHROME,19,2,False,0
10,CLI000017,2026-03-04 22:57:00,2539.68,EUR,DEBIT,TN,192.168.202.142,MOBILE_ANDROID,22,2,False,0
11,CLI000039,2026-03-27 20:58:00,1483.36,EUR,CREDIT,FR,192.168.194.120,DESKTOP_FIREFOX,20,4,False,0
12,CLI000013,2026-03-20 04:51:00,1954.22,TND,VIREMENT,US,192.168.185.209,MOBILE_IOS,4,4,False,0
13,CLI000041,2026-03-02 10:42:00,769.31,EUR,CREDIT,MA,192.168.119.88,DESKTOP_CHROME,10,0,False,0
14,CLI000071,2026-03-02 08:32:00,1901.97,EUR,DEBIT,FR,192.168.203.22,MOBILE_IOS,8,0,False,0
15,CLI000028,2026-03-05 06:20:00,661.52,TND,DEBIT,FR,192.168.81.217,DESKTOP_CHROME,6,3,False,0
16,CLI000092,2026-03-10 22:48:00,994.94,EUR,DEBIT,FR,192.168.49.110,DESKTOP_CHROME,22,1,False,0
17,CLI000069,2026-03-11 14:07:00,713.67,EUR,VIREMENT,FR,192.168.198.242,DESKTOP_FIREFOX,14,2,False,0
18,CLI000010,2026-03-23 23:58:00,573.26,EUR,DEBIT,FR,192.168.179.107,MOBILE_IOS,23,0,False,0
19,CLI000020,2026-03-28 09:33:00,434.01,EUR,DEBIT,FR,192.168.54.113,MOBILE_IOS,9,5,False,0
20,CLI000091,2026-03-02 04:59:00,1739.28,EUR,DEBIT,FR,192.168.116.219,DESKTOP_CHROME,4,0,False,0
21,CLI000005,2026-03-26 13:01:00,4782.54,TND,CREDIT,TN,192.168.143.8,DESKTOP_FIREFOX,13,3,False,0
22,CLI000084,2026-03-10 01:11:00,4045.35,EUR,CREDIT,FR,192.168.96.36,DESKTOP_FIREFOX,1,1,False,0
23,CLI000007,2026-03-30 13:50:00,219.67,EUR,DEBIT,FR,192.168.148.224,DESKTOP_CHROME,13,0,False,0
24,CLI000048,2026-03-25 19:13:00,4661.27,EUR,CREDIT,FR,192.168.33.79,MOBILE_IOS,19,2,False,0
25,CLI000071,2026-03-20 02:13:00,677.36,EUR,CREDIT,FR,192.168.242.189,DESKTOP_CHROME,2,4,False,0
26,CLI000025,2026-03-11 00:46:00,2040.36,EUR,CREDIT,MA,192.168.3.128,DESKTOP_CHROME,0,2,False,0
27,CLI000071,2026-03-21 10:39:00,334.47,EUR,VIREMENT,FR,192.168.208.169,DESKTOP_CHROME,10,5,False,0
28,CLI000010,2026-03-27 19:38:00,1176.59,TND,VIREMENT,FR,192.168.214.91,DESKTOP_FIREFOX,19,4,False,0
29,CLI000082,2026-03-13 15:51:00,1445.87,EUR,DEBIT,FR,192.168.87.58,DESKTOP_CHROME,15,4,False,0
30,CLI000029,2026-03-01 07:05:00,167.08,EUR,CREDIT,FR,192.168.108.109,DESKTOP_CHROME,7,6,False,0
31,CLI000065,2026-03-08 06:23:00,2058.89,EUR,CREDIT,TN,192.168.176.193,MOBILE_ANDROID,6,6,True,0
32,CLI000080,2026-03-20 05:36:00,4989.65,EUR,DEBIT,FR,192.168.104.196,DESKTOP_FIREFOX,5,4,False,0
33,CLI000013,2026-03-16 11:38:00,804.66,EUR,VIREMENT,FR,192.168.200.177,DESKTOP_FIREFOX,11,0,False,0
34,CLI000023,2026-03-13 15:30:00,5075.61,EUR,DEBIT,IR,192.168.138.77,MOBILE_ANDROID,15,4,False,0
35,CLI000082,2026-03-08 01:49:00,790.26,TND,CREDIT,US,192.168.84.151,DESKTOP_CHROME,1,6,False,0
36,CLI000069,2026-03-10 19:10:00,2750.4,EUR,DEBIT,MA,192.168.6.146,DESKTOP_FIREFOX,19,1,False,0
37,CLI000033,2026-03-16 07:39:00,69.25,EUR,CREDIT,FR,192.168.202.9,MOBILE_ANDROID,7,0,False,0
38,CLI000062,2026-03-05 15:38:00,18079.49,EUR,DEBIT,FR,192.168.237.36,DESKTOP_CHROME,15,3,False,0
39,CLI000072,2026-03-05 05:18:00,3736.34,EUR,DEBIT,KP,192.168.40.251,DESKTOP_FIREFOX,5,3,False,1
40,CLI000056,2026-03-18 06:58:00,705.18,EUR,DEBIT,FR,192.168.244.255,DESKTOP_FIREFOX,6,2,False,0
41,CLI000034,2026-03-05 09:38:00,93.08,EUR,DEBIT,FR,192.168.85.146,DESKTOP_CHROME,9,3,False,0
42,CLI000100,2026-03-17 08:06:00,1401.97,TND,VIREMENT,FR,192.168.162.205,DESKTOP_CHROME,8,1,False,0
